内容,リンク
GoogleDrive（大元）,https://drive.google.com/drive/folders/1I2E6_xLhmRUptMfqn9ZTtxBwf9rtHO0U?usp=sharing
このデータを管理しているCSVファイル(編集することでwebページの更新が可能です。),https://drive.google.com/file/d/1EOl8INLQbA0SjG3zO9FZS0SdLMUmuCih/view?usp=sharing
マスターデータ(名簿etc),https://docs.google.com/spreadsheets/d/17SF0O7jM-BF1PLIv2TXPvxQ4JNWuknPU/edit?usp=sharing&ouid=112747670451289500712&rtpof=true&sd=true
アナ雪,https://drive.google.com/drive/folders/18REsuTxceU4mgREXz-6ArlRHRJ-OYZ7q?usp=drive_link
2023会計,https://docs.google.com/spreadsheets/d/1I5u4RcGcmXmaVUyQhv4JGkKeM1xLardu/edit?usp=sharing&ouid=112747670451289500712&rtpof=true&sd=true
おもちゃのちゃちゃちゃ,https://drive.google.com/drive/folders/1A4KCqYq3xZsjPeIJOMDfxfvB-ZG0IC18?usp=sharing
お正月,https://drive.google.com/drive/folders/1GFiTyBW0j-VzcFprI48kGnL2RrW12TRT?usp=sharing
クリスマスメドレー,https://drive.google.com/drive/folders/1H_u_aQH1VIX2oufl2w5uqRZt4B2h7B5X?usp=sharing
くるみ割り人形,https://drive.google.com/drive/folders/19XrKCzrHnDRoorcDngvMGhYq_whFFfuf?usp=sharing
ドレミの歌,https://drive.google.com/drive/folders/1umBskjvSxG9auKRd79lGAbsGC4PQc1Kx?usp=sharing
ひいらぎ飾ろう,https://drive.google.com/drive/folders/15ka-beKaqfwAHM1Ru613VV1rNlU_L3Ie?usp=sharing
赤鼻の→サンタが街に,https://drive.google.com/drive/folders/15blEUg-iGqbTYAGORgt6ddn5yZG-or4R?usp=sharing
ラデツキー,https://drive.google.com/drive/folders/1IYLMPan27HFKm5yTAQbibPHUPLJ8IUsD?usp=sharing
威風堂々,https://drive.google.com/drive/folders/1DdggzdoYwmpLzTMl-buFWRaxC2VoZ_X0?usp=sharing
乾杯の歌,https://drive.google.com/drive/folders/1upgL_jXqCGzXHvWBYdcTHLVL6MibnUt2?usp=sharing
銀河鉄道,https://drive.google.com/drive/folders/1zgUuuaqwbSv-HoSQaq1rY7Me6y6s1K5p?usp=sharing
四季～春,https://drive.google.com/drive/folders/1PtlSlUpdREQvymtKAq08KQt9NeyTtbhe?usp=sharing
小さな世界,https://drive.google.com/drive/folders/1Pmmwu18WY6eiS-be0GnSoIvCwFLmDKEc?usp=sharing
パノラボ講演会文字起こし,https://docs.google.com/document/d/17OigOMy2dmDM1fbyLKoWHcopmffwS2B0/edit?usp=sharing&ouid=112747670451289500712&rtpof=true&sd=true
2023/12/13特別支援学校,https://drive.google.com/drive/folders/1py-8zZEKhod3KpK1t34B7XRBe59cJdYL?usp=sharing